Spanish,English
el alimento,nourishment
el bocadillo,sandwich
el almuerzo,lunch
muy linda,very pretty
la mayoría,most
la mayoría,majority
gratis,free
la corriente,current
corriente,common
el camión,truck
la ventaja,advantage
el ocio,leisure
el ocio,spare time
sencillo,simple
perdido,lost
la similitud,similarity
entender,to understand
la clave,code
la clave,key
el viaje,journey
el viaje,trip
el traslado,transfer
el traslado,move
el deseo,desire
el deseo,wish
el diminutivo,diminutive
la sonrisa,smile
el alias,alias
celoso,jealous
hoy en día,nowadays
salud,bless you
salud,cheers
la salud,health
el descanso,rest
impreso,printed
la cartulina,poster board
el submarinismo,scuba diving
el sabor,flavor
el sabor,taste
sabroso,delicious
sabroso,tasty
adinerado,wealthy
rico,delicious
rico,rich
recto,straight
deprisa,fast
deprisa,quick
puntual,on time
el arenal,sandy area
la construcción,building
la construcción,construction
el plano,map
apoyar,to support
la base,basis
la base,foundation
la parada,station
la parada,stop
la elevación,elevation
gran,large
la montaña,mountain
la calidad,quality
la calidad,status
la mitad,middle
la mitad,half
la superficie,area
la tierra,earth
la tierra,land
el mapa,map
la obligación,obligation
hay que,one must
girar,to spin
girar,to turn
la gastronomía,gastronomy
agradecer,to be grateful
agradecer,to thank
dar las gracias,to say thanks
dar las gracias,to thank
atravesar,to cross
cruzar,to cross
el cruce,intersection
el cruce,crossing
costar,to cost
contaminante,polluting
el contaminante,contaminant
agarrar,to take
agarrar,to grab
asir,to take hold of
asir,to grab
coger,to grab
coger,to take
agrícola,agricultural
agrícola,farming
montar,to ride
la tarjeta,card
el billete,ticket
inesperado,unexpected
extraño,odd
extraño,strange
el suceso,event
fijo,fixed
el trayecto,journey
el trayecto,route
gestionar,to manage
gestionar,to negotiate
la agencia,agency
vago,lazy
el vago,slacker
torpe,clumsy
comunicativo,communicative
abierto,open-minded
abierto,open
tímido,shy
tímido,timid
subir,to climb
subir,to go up
el calzado,footwear
el tacón,heel
tacaño,stingy
casado,married
soltero,single
la sobrina,niece
el sobrino,nephew
apartar,to separate
apartar,to move away
separado,divorced
parecido,alike
parecido,similar
rubio,blond
rizado,curly
plano,flat
pelirrojo,red-haired
ajustar,to adjust
acerca de,about
el nieto,grandson
la boda,wedding
desaparecer,to disappear
el quiosco,kiosk
moreno,dark-haired
moreno,dark-skinned
mundial,world
el compositor,composer
amable,kind
la estructura,structure
el mecanismo,mechanism
componente,component
la vestimenta,clothes
el estado civil,marital status
único,only
el/la protagonista,main character
escoger,to choose
el personaje,character
ganar,to earn
ganar,to win
morir,to die
el aparcamiento,parking
la sala de estar,living room
el valle,valley
el paraíso,paradise
habitado,inhabited
guardar,to keep
reciente,recent
la época,period
al tiempo,to the time of
al tiempo,while
perteneciente,belonging to
perteneciente,pertaining to
los complementos,accessories
traer,to bring
traer,to have on
llevar,to wear
largo,long
la longitud,length
recibir,to accept
recibir,to receive
dejado,careless
jubilado,retired
la cintura,waist
el jersey,jumper
el jersey,sweater
listo,clever
listo,ready
listo,smart
el hablador,chatterbox
hablador,talkative
la cabeza,head
la gorra,cap
el peso,weight
el gordito,darling
la golosina,candy
el aficionado,lover
el aficionado,enthusiast
el aficionado,fan
los lentes,glasses
durante,during
la tendencia,tendency
la tendencia,trend
estar de moda,to be fashionable
estar de moda,to be in fashion
divorciado,divorced
bueno,good
divertido,entertaining
divertido,fun
el diseñador,designer
olvidar,to forget
alrededor,around
despistado,absent-minded
el despistado,scatterbrain
delgado,thin
el cuñado,brother-in-law
la comparación,comparison
corto,brief
corto,short
moderno,modern
moderno,up-to-date
la moda,fashion
aplicado,applied
aplicado,diligent
cool,cool
luminoso,bright
luminoso,brilliant
luminoso,light
claro,bright
claro,clear
claro,light
canoso,gray-haired
la plata,silver
el hierro,iron
entre sí,among themselves
